pfv_id,phase,session,surface,variant_axis,state_shown,device,aspect_ratio,parent_id,evolution_pattern,delta_axis,v_verdict,v_5gate,feedback_note,local_path,created_at_utc,downstream_use,forbidden_use,notes
pfv-S00-V1,P0,S00,capture-station-desktop,1-default-empty,idle,desktop,16:9,,,,V-PASS,PPPPP,low info density,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V1-cn-default-empty.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,
pfv-S00-V2,P0,S00,capture-station-desktop,2-loading,loading,desktop,16:9,,,,V-PASS,PPPPP,intermediate state,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V2-cn-loading.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,
pfv-S00-V3,P0,S00,capture-station-desktop,3-metadata-loaded,partial-ready,desktop,16:9,,,,V-PASS,PPPPP,intermediate state,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V3-cn-metadata-loaded.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,
pfv-S00-V4,P0,S00,capture-station-desktop,4-full-state,ready,desktop,16:9,,,,V-PASS,PPPPP,initial CN anchor TOP1,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V4-cn-full-state-TOP1-ANCHOR.png,2026-05-06T22:58:00Z,master-anchor-base,not-implementation-source,initial anchor superseded by SUPER-ANCHOR-FINAL
pfv-S00-V5,P0,S00,capture-station-desktop,5-vault-preview-expanded,ready,desktop,16:9,,,,V-PASS,PPPPP,markdown excerpt panel,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V5-cn-vault-preview-expanded-TOP2.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,TOP2 initial
pfv-S00-V6,P0,S00,capture-station-desktop,6-dry-run-visible,blocked,desktop,16:9,,,,V-PASS,PPPPP,write_enabled=false viz,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V6-cn-dry-run-visible.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,
pfv-S00-V7,P0,S00,capture-station-desktop,7-sidebar-collapsed,ready,desktop,16:9,,,,V-PASS-with-concern,PPPPP,duplicate of V4 visually,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V7-cn-sidebar-collapsed.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,low differentiation
pfv-S00-V8,P0,S00,capture-station-desktop,8-error-banner,error,desktop,16:9,,,,V-PASS,PPPPP,error state typical,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V8-cn-error-banner-TOP3.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,TOP3 initial error reference
pfv-S00-V9,P0,S00,capture-station-desktop,9-high-density,ready,desktop,16:9,,,,V-PASS,PPPPP,density upper bound,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V9-cn-high-density.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,
pfv-S00-V10,P0,S00,capture-station-desktop,10-reduced-density,ready,desktop,16:9,,,,V-PASS,PPPPP,density lower bound,docs/research/visual-prototypes/PF-V/images-P0/pfv-S00-V10-cn-reduced-density.png,2026-05-06T22:58:00Z,PF-C4-html-source,not-implementation-source,
pfv-SUPER-ANCHOR-A-archive,P0,Merge,capture-station-desktop,merge-with-footer,ready,desktop,16:9,pfv-S00-V4|pfv-S01-V5|pfv-S01-V4|pfv-S01-V8,Multi-anchor-merge,full-merge-graph-stepper-footer,V-PASS,PPPPP,A archived; FINAL chose B (no footer),docs/research/visual-prototypes/PF-V/images-P0/pfv-SUPER-ANCHOR-A-archive-with-footer.png,2026-05-06T23:33:00Z,archive-only,not-implementation-source,archived candidate
pfv-SUPER-ANCHOR-FINAL,P0,Merge,capture-station-desktop,merge-no-footer,ready,desktop,16:9,pfv-S00-V4|pfv-S01-V5|pfv-S01-V4,Multi-anchor-merge,graph-stepper-merge,V-PASS,PPPPP,FINAL master super anchor; all downstream sessions inherit,docs/research/visual-prototypes/PF-V/images-P0/pfv-SUPER-ANCHOR-FINAL-cn.png,2026-05-06T23:33:00Z,master-anchor-base,not-implementation-source,MASTER ANCHOR LOCKED
pfv-S01-V1,P1,S01,capture-station-desktop,1-header-minimal,ready,desktop,16:9,pfv-S00-V4,Detail-variant,header-minimal,V-PASS,PPPPP,minimal header but loses brand area,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V1-cn-header-minimal.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,
pfv-S01-V2,P1,S01,capture-station-desktop,2-urlbar-filled,ready,desktop,16:9,pfv-S00-V4,Detail-variant,urlbar-filled-surface-muted,V-PASS,PPPPP,input zone clearly identifiable,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V2-cn-urlbar-filled-surface-muted.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,
pfv-S01-V3,P1,S01,capture-station-desktop,3-captureId-chip-at-top,ready,desktop,16:9,pfv-S00-V4,Detail-variant,captureId-chip-at-top,V-PASS,PPPPP,neutral cleaner panel,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V3-cn-captureId-chip-at-top.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,
pfv-S01-V4,P1,S01,capture-station-desktop,4-scope-stepper,ready,desktop,16:9,pfv-S00-V4,Detail-variant,scope-stepper-horizontal,V-PASS,PPPPP,dynamic stepper progress visualization,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V4-cn-scope-stepper-TOP2.png,2026-05-06T23:49:00Z,master-anchor-base,not-implementation-source,TOP2 used in SUPER-ANCHOR merge
pfv-S01-V5,P1,S01,capture-station-desktop,5-trust-trace-graph,ready,desktop,16:9,pfv-S00-V4,Detail-variant,trust-trace-graph-with-legend,V-PASS,PPPPP,KILLER FEATURE - graph visualization quantum leap,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V5-cn-trust-trace-graph-TOP1-NEWANCHOR.png,2026-05-06T23:49:00Z,master-anchor-base,not-implementation-source,TOP1 NEW ANCHOR used in SUPER-ANCHOR merge
pfv-S01-V6,P1,S01,capture-station-desktop,6-vault-preview-icon-text,ready,desktop,16:9,pfv-S00-V4,Detail-variant,vault-preview-button-icon-text,V-PASS,PPPPP,small detail addition,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V6-cn-vault-preview-icon-text.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,
pfv-S01-V7,P1,S01,capture-station-desktop,7-runtime-pill,ready,desktop,16:9,pfv-S00-V4,Detail-variant,runtime-pill-top-right,V-PASS,PPPPP,workstation feel small detail,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V7-cn-runtime-pill.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,
pfv-S01-V8,P1,S01,capture-station-desktop,8-footer-build-pill,ready,desktop,16:9,pfv-S00-V4,Detail-variant,footer-build-version-pill,V-PASS,PPPPP,engineering vibe element,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V8-cn-footer-build-pill-TOP3.png,2026-05-06T23:49:00Z,master-anchor-base,not-implementation-source,TOP3 considered in SUPER-ANCHOR merge but dropped in FINAL B (no footer)
pfv-S01-V9,P1,S01,capture-station-desktop,9-border-1.5px-strong,ready,desktop,16:9,pfv-S00-V4,Detail-variant,border-1.5px-strong,V-PASS-with-concern,PPPPP,frame-like feel slightly off,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V9-cn-border-1_5px-strong.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,sharper but loses softness
pfv-S01-V10,P1,S01,capture-station-desktop,10-gap-32px,ready,desktop,16:9,pfv-S00-V4,Detail-variant,panel-gap-32px,V-PASS-with-concern,PPPPP,duplicate of S00-V10 reduced density,docs/research/visual-prototypes/PF-V/images-P1-desktop/pfv-S01-V10-cn-gap-32px.png,2026-05-06T23:49:00Z,PF-C4-html-source,not-implementation-source,
pfv-S04-V1,P2,S04,url-bar,1-empty,idle,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,empty-state,V-PASS,PPPPP,placeholder gray + button disabled,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V1-cn-empty.png,2026-05-07T00:51:00Z,PF-C4-html-source,not-implementation-source,
pfv-S04-V2,P2,S04,url-bar,2-focus,focus,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,focus-state,V-PASS,PPPPP,border accent_live emphasized,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V2-cn-focus.png,2026-05-07T00:51:00Z,PF-C4-html-source,not-implementation-source,
pfv-S04-V3,P2,S04,url-bar,3-pasted-unverified,partial-ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,pasted-unverified,V-PASS,PPPPP,button accent_focus pending,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V3-cn-pasted-unverified.png,2026-05-07T00:51:00Z,PF-C4-html-source,not-implementation-source,
pfv-S04-V4,P2,S04,url-bar,4-pasted-verified,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,pasted-verified-armed,V-PASS,PPPPP,daily path representative,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V4-cn-pasted-verified-TOP3.png,2026-05-07T00:51:00Z,PF-C4-html-source-priority,not-implementation-source,TOP3 happy path
pfv-S04-V5,P2,S04,url-bar,5-validating,loading,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,validating-spinner,V-PASS,PPPPP,truncated URL + spinner,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V5-cn-validating.png,2026-05-07T00:51:00Z,PF-C4-html-source,not-implementation-source,
pfv-S04-V6,P2,S04,url-bar,6-error,error,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,error-invalid-url,V-PASS,PPPPP,abnormal path representative,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V6-cn-error-TOP3.png,2026-05-07T00:51:00Z,PF-C4-html-source-priority,not-implementation-source,TOP3 error path
pfv-S04-V7,P2,S04,url-bar,7-success,success,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,success-with-toast,V-PASS,PPPPP,success story full integration,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V7-cn-success-TOP2.png,2026-05-07T00:51:00Z,PF-C4-html-source-priority,not-implementation-source,TOP2 success cascade
pfv-S04-V8,P2,S04,url-bar,8-disabled,blocked,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,disabled-write-locked,V-PASS,PPPPP,write_enabled=false visualization,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V8-cn-disabled.png,2026-05-07T00:51:00Z,PF-C4-html-source,not-implementation-source,
pfv-S04-V9,P2,S04,url-bar,9-history-dropdown,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,history-5-rows,V-PASS,PPPPP,STRONGEST workstation feel - 5 dummy rows perfect,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V9-cn-history-dropdown-TOP1.png,2026-05-07T00:51:00Z,PF-C4-html-source-priority,not-implementation-source,TOP1 history pattern
pfv-S04-V10,P2,S04,url-bar,10-dragover,active,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,dragover-glow,V-PASS,PPPPP,border_focus glow + drop hint,docs/research/visual-prototypes/PF-V/images-P2-url-bar/pfv-S04-V10-cn-dragover.png,2026-05-07T00:51:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V1,P2,S05,live-metadata,1-long-cn-title,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,long-title-wrap,V-PASS,PPPPP,3-line wrap grid maintained,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V1-cn-long-cn-title.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V2,P2,S05,live-metadata,2-short-title-long-uploader,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,uploader-truncate-ellipsis,V-PASS,PPPPP,ellipsis truncation,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V2-cn-short-title-long-uploader.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V3,P2,S05,live-metadata,3-cn-en-mixed-title,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,cn-en-baseline-aligned,V-PASS,PPPPP,baseline alignment perfect,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V3-cn-cn-en-mixed-title.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V4,P2,S05,live-metadata,4-numbers-heavy,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,5-high-numbers-mono,V-PASS,PPPPP,density upper bound test passed,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V4-cn-numbers-heavy-TOP3.png,2026-05-07T00:59:00Z,PF-C4-html-source-priority,not-implementation-source,TOP3 density limit
pfv-S05-V5,P2,S05,live-metadata,5-sparse-data,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,em-dash-placeholder,V-PASS,PPPPP,placeholder consistent text_muted,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V5-cn-sparse-data.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V6,P2,S05,live-metadata,6-tags-overflow,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,8-chips-plus-3-overflow,V-PASS,PPPPP,layout robustness winner,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V6-cn-tags-overflow-TOP2.png,2026-05-07T00:59:00Z,PF-C4-html-source-priority,not-implementation-source,TOP2 tag overflow contract
pfv-S05-V7,P2,S05,live-metadata,7-live-counter,active,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,live-mono-accent_live,V-PASS,PPPPP,LIVE STATE viz strongest unique,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V7-cn-live-counter-TOP1.png,2026-05-07T00:59:00Z,PF-C4-html-source-priority,not-implementation-source,TOP1 live state
pfv-S05-V8,P2,S05,live-metadata,8-multi-lang-title,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,multi-lang-baseline,V-PASS,PPPPP,jp/cn/en stack alignment,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V8-cn-multi-lang-title.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V9,P2,S05,live-metadata,9-paged-metadata,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,paged-1-of-12-stepper,V-PASS,PPPPP,12-dot mini stepper,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V9-cn-paged-metadata.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S05-V10,P2,S05,live-metadata,10-thumbnail-field,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,geometric-thumbnail-placeholder,V-PASS,PPPPP,no stock photo placeholder,docs/research/visual-prototypes/PF-V/images-P2-live-metadata/pfv-S05-V10-cn-thumbnail-field.png,2026-05-07T00:59:00Z,PF-C4-html-source,not-implementation-source,
pfv-S06-V1,P2,S06,capture-scope,1-lifecycle-start,partial-ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,State-machine-snapshot,step1-active,V-PASS,PPPPP,5 fields em-dash placeholder,docs/research/visual-prototypes/PF-V/images-P2-capture-scope/pfv-S06-V1-cn-lifecycle-start.png,2026-05-07T01:08:00Z,PF-C4-html-source,not-implementation-source,
pfv-S06-V2,P2,S06,capture-scope,2-lifecycle-progress,active,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,State-machine-snapshot,step3-active,V-PASS,PPPPP,baseline matches super anchor,docs/research/visual-prototypes/PF-V/images-P2-capture-scope/pfv-S06-V2-cn-lifecycle-progress.png,2026-05-07T01:08:00Z,PF-C4-html-source,not-implementation-source,
pfv-S06-V3,P2,S06,capture-scope,3-lifecycle-complete,success,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,State-machine-snapshot,all-4-success,V-PASS,PPPPP,victory state 4-green,docs/research/visual-prototypes/PF-V/images-P2-capture-scope/pfv-S06-V3-cn-lifecycle-complete-TOP3.png,2026-05-07T01:08:00Z,PF-C4-html-source-priority,not-implementation-source,TOP3 victory
pfv-S06-V4,P2,S06,capture-scope,4-lifecycle-error,error,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,State-machine-snapshot,step3-failed-retry,V-PASS,PPPPP,X mark + retry CTA + bilibili API timeout,docs/research/visual-prototypes/PF-V/images-P2-capture-scope/pfv-S06-V4-cn-lifecycle-error-TOP2.png,2026-05-07T01:08:00Z,PF-C4-html-source-priority,not-implementation-source,TOP2 abnormal full
pfv-S06-V5,P2,S06,capture-scope,5-blocked-layer-tooltip,blocked,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,State-machine-snapshot,governance-tooltip,V-PASS,PPPPP,GOVERNANCE TRANSPARENCY blocked_by PF-O1-02,docs/research/visual-prototypes/PF-V/images-P2-capture-scope/pfv-S06-V5-cn-blocked-layer-tooltip-TOP1.png,2026-05-07T01:08:00Z,PF-C4-html-source-priority,not-implementation-source,TOP1 governance visualization
pfv-S07-V1,P2,S07,trust-trace,1-filter-dom-only,filtered,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Graph-state,filter-chips-dom-only,V-PASS,PPPPP,JSON-LD muted accent_blocked,docs/research/visual-prototypes/PF-V/images-P2-trust-trace/pfv-S07-V1-cn-filter-dom-only.png,2026-05-07T01:14:00Z,PF-C4-html-source,not-implementation-source,
pfv-S07-V2,P2,S07,trust-trace,2-node-search,filtered,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Graph-state,search-og-title-glow,V-PASS,PPPPP,FTS metaphor accent_focus glow,docs/research/visual-prototypes/PF-V/images-P2-trust-trace/pfv-S07-V2-cn-node-search-TOP3.png,2026-05-07T01:14:00Z,PF-C4-html-source-priority,not-implementation-source,TOP3 search
pfv-S07-V3,P2,S07,trust-trace,3-time-axis,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Graph-state,time-axis-rearrange,V-PASS,PPPPP,GRAPH EVOLUTION strongest - 6.2s path,docs/research/visual-prototypes/PF-V/images-P2-trust-trace/pfv-S07-V3-cn-time-axis-TOP1.png,2026-05-07T01:14:00Z,PF-C4-html-source-priority,not-implementation-source,TOP1 archeology view
pfv-S07-V4,P2,S07,trust-trace,4-error-path,error,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Graph-state,partial-failure-403,V-PASS,PPPPP,DOM stats X mark + tooltip,docs/research/visual-prototypes/PF-V/images-P2-trust-trace/pfv-S07-V4-cn-error-path-TOP2.png,2026-05-07T01:14:00Z,PF-C4-html-source-priority,not-implementation-source,TOP2 partial failure
pfv-S07-V5,P2,S07,trust-trace,5-empty-state,empty,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Graph-state,document-only-dashed-skeleton,V-PASS,PPPPP,caption typo but content correct,docs/research/visual-prototypes/PF-V/images-P2-trust-trace/pfv-S07-V5-cn-empty-state.png,2026-05-07T01:14:00Z,PF-C4-html-source,not-implementation-source,empty state baseline
pfv-S08-V1,P2,S08,vault-preview,1-idle,idle,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,idle-placeholder,V-PASS-with-path-concern,PPPPP,EARLY: dummy path scoutflow-vault not raw inbox,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V1-cn-idle.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,master-context fixed after this session
pfv-S08-V2,P2,S08,vault-preview,2-loading,loading,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,skeleton-pulse,V-PASS-with-path-concern,PPPPP,dummy path issue,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V2-cn-loading.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,
pfv-S08-V3,P2,S08,vault-preview,3-ready,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,markdown-rendered-full,V-PASS-with-path-concern,PPPPP,DEFAULT CORE STATE ready baseline,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V3-cn-ready-TOP1.png,2026-05-07T01:23:00Z,PF-C4-html-source-priority,not-implementation-source,TOP1 baseline
pfv-S08-V4,P2,S08,vault-preview,4-error,error,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,template-render-error,V-PASS-with-path-concern,PPPPP,error stack trace mono,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V4-cn-error.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,
pfv-S08-V5,P2,S08,vault-preview,5-blocked,blocked,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,overflow-registry-banner,V-PASS-with-path-concern,PPPPP,GOVERNANCE banner PF-O1-02,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V5-cn-blocked-overflow-registry-TOP2.png,2026-05-07T01:23:00Z,PF-C4-html-source-priority,not-implementation-source,TOP2 governance
pfv-S08-V6,P2,S08,vault-preview,6-long-content,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,scroll-fade-30-lines,V-PASS-with-path-concern,PPPPP,scroll fade effect,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V6-cn-long-content.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,
pfv-S08-V7,P2,S08,vault-preview,7-frontmatter-expanded,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,yaml-block-elevated-8-fields,V-PASS-with-path-concern,PPPPP,frontmatter highlighted,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V7-cn-frontmatter-expanded.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,
pfv-S08-V8,P2,S08,vault-preview,8-copy-action,success,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,toast-md-copied,V-PASS-with-path-concern,PPPPP,action feedback complete,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V8-cn-copy-action-TOP3.png,2026-05-07T01:23:00Z,PF-C4-html-source-priority,not-implementation-source,TOP3 action feedback
pfv-S08-V9,P2,S08,vault-preview,9-download-action,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,download-tooltip-path,V-PASS-with-path-concern,PPPPP,download path tooltip,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V9-cn-download-action.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,
pfv-S08-V10,P2,S08,vault-preview,10-diff-mode,ready,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,diff-html-vs-clean-md,V-PASS-with-path-concern,PPPPP,advanced metaphor strong,docs/research/visual-prototypes/PF-V/images-P2-vault-preview/pfv-S08-V10-cn-diff-mode.png,2026-05-07T01:23:00Z,PF-C4-html-source,not-implementation-source,
pfv-S09-V1,P2,S09,vault-commit,1-standard,blocked,desktop,16:9,pfv-SUPER-ANCHOR-FINAL,Component-zoom,obsidian-raw-vault-subtitle,V-PASS,PPPPP,subtitle EXPLICIT obsidian boundary,docs/research/visual-prototypes/PF-V/images-P2-vault-commit/pfv-S09-V1-cn-standard.png,2026-05-07T01:34:00Z,PF-C4-html-source,not-implementation-source,
